CNPJ_Fundo_Classe,Data_Referencia,Versao,Nome_Ativo,Percentual_Garantido_Relativo,Garantidor,Principais_Caracteristicas_Garantia,CNPJ_Fundo
03.683.056/0001-86,2021-03-31,1,Idea Empreendimentos SPE 11 Ltda,0.044143,Vendedor,18 meses de duração,
03.683.056/0001-86,2021-12-31,1,JK FINANCIAL CENTER,0.01896,Vendedor,18 meses de duração,
08.924.783/0001-01,2021-03-31,1,Morumbi Diamond Tower,0.004731,Multiplan Greenfield IV Empreendimento Imobiliário LTDA,Aquisição de imóveis,
08.924.783/0001-01,2021-03-31,1,Sucupira,0.00396,REC Sucupira PDC Empreendimento,Aquisição de imóveis,
08.924.783/0001-01,2021-06-30,1,Morumbi Diamond Tower,0.006778,Multiplan Greenfield IV Empreendimento Imobiliário LTDA,Aquisição de Imóveis,
08.924.783/0001-01,2021-06-30,1,Sucupira,0.006841,REC Sucupira PDC Empreendimento,Aquisição de Imóveis,
08.924.783/0001-01,2021-09-30,1,Morumbi Diamond Tower,0.002428,Multipan Greenfield IV Empreendimento Imobiliário LTDA,Aquisição de Imóveis,
08.924.783/0001-01,2021-09-30,1,Sucupira,0.005171,REC Sucupira PDC Empreendimento,Aquisição de Imóveis,
08.924.783/0001-01,2021-12-31,1,Sucupira,0.006792,REC Sucupira PDC Empreendimento,Aquisição de Imóveis,
12.005.956/0001-65,2021-06-30,1,Edifício Rochaverá - Torres Ebony e Marble,0.0725,Mirae Asset Maps Asia Pacific Real Estate,"7,25% aa sobre o valor investido por 10 anos, limitado a R$ 20.000.000",
13.371.132/0001-71,2021-03-31,1,Torre Ebony e Marble,0.0725,,"Retorno de 7,25% sobre o valor investido por 10 anos limitado a 40 milhões de reais.",
13.371.132/0001-71,2021-06-30,1,Torre Ebony e Marble,0.0725,,"Retorno de 7,25% sobre o valor investido por 10 anos limitado a 40 milhões de reais.",
13.371.132/0001-71,2021-09-30,1,Torre Ebony e Marble,0.0725,,"Retorno de 7,25% sobre o valor investido por 10 anos limitado a 40 milhões de reais.",
13.371.132/0001-71,2021-12-31,2,Torre Ebony e Marble,0.0725,,"Retorno de 7,25% sobre o valor investido por 10 anos limitado a 40 milhões de reais.",
16.915.868/0001-51,2021-03-31,1,SPE HOLDING FAZENDA BOA VISTA LTDA.,0.01,JHSF PARTICIPAÇÕES S.A.,"A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.",
16.915.868/0001-51,2021-06-30,1,SPE HOLDING FAZENDA BOA VISTA LTDA.,0.01,JHSF PARTICIPAÇÕES S.A.,"A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.",
18.312.285/0001-61,2021-03-31,1,Edifício EZ Towers - Torre B,0.008974,BR7 FIM CP,Aquisição de imóveis,
18.312.285/0001-61,2021-06-30,1,Edifício EZ Towers - Torre B,0.009235,BR7 FIM CP,Aquisição de Imóveis,
18.312.285/0001-61,2021-09-30,1,Edíficio EZ Towers - Torre B,0.005136,BR7 FIM CP,Aquisição de Imóveis,
18.312.285/0001-61,2021-12-31,1,Edifício EZ Towers - TORRE B,0.004702,BR7 FIM CP,Aquisição de Imóveis,
21.408.063/0001-51,2021-03-31,1,Edíficio River One,,,Retorno de 7% a.a. sobre o valor desembolsado durante 15 meses após assinatura da escritura,
21.408.063/0001-51,2021-06-30,1,Edíficio River One,,,Retorno de 7% a.a. sobre o valor desembolsado durante 15 meses após assinatura da escritura,
27.538.422/0001-71,2021-03-31,1,Não há informação apresentada.,,,,
27.538.422/0001-71,2021-06-30,1,Não há informação apresentada.,,,,
27.538.422/0001-71,2021-09-30,1,Não há informação apresentada.,,,,
27.538.422/0001-71,2021-12-31,1,Não há informação apresentada.,,,,
31.894.369/0001-19,2021-03-31,1,Ed. Morumbi,0.388,Vendedores do imóvel,"Complemento de renda durante os primeiros 24 meses a contar da aquisição do imóvel, com objetivo de garantir a receita mensal de R$ 726.380,56.",
31.894.369/0001-19,2021-06-30,1,Ed. Birmann 20,0.388,Vendedores do imóvel,"Complemento de renda durante os primeiros 18 meses a contar da aquisição do imóvel, com objetivo de garantir a receita mensal de R$ 937.500,00.",
31.894.369/0001-19,2021-06-30,1,Ed. Morumbi,0.388,Vendedores do imóvel,"Complemento de renda durante os primeiros 24 meses a contar da aquisição do imóvel, com objetivo de garantir a receita mensal de R$ 726.380,56.",
34.847.042/0001-84,2021-09-30,1,TORRE V - ED. ARAUCARIA,0.966138,vendedor (TS-2 ALPHA DESENVOLVIMENTO IMOBILIÁRIO LTDA),"O aluguel mensal corporativo foi garantido durante o período de carência do contrato Built-to-suit, entre os meses de maio de 2022 e setembro de 2021, no valor de R$ 1.468.807,20.Em adição, o fundo também recebeu aluguel garantido no valor de R$ 35.425,00 referentes ao aluguel da loja vaga no térreo. O prazo do aluguel garantido da loja é março de 2022.",
34.847.042/0001-84,2021-12-31,2,TORRE V - ED. ARAUCARIA,0.966138,vendedor (TS-2 ALPHA DESENVOLVIMENTO IMOBILIÁRIO LTDA),"O aluguel mensal corporativo foi garantido durante o período de carência do contrato Built-to-suit, entre os meses de maio de 2022 e setembro de 2021, no valor de R$ 1.468.807,20.Em adição, o fundo também recebeu aluguel garantido no valor de R$ 35.425,00 referentes ao aluguel da loja vaga no térreo. O prazo do aluguel garantido da loja é março de 2022.",
35.652.102/0001-76,2021-09-30,2,Union Faria Lima,1.0,Dublin Empreendimento Imobiliário SPE S/A,Imóvel ainda em construção com 100% de renda garantida pelo vendedor proporcional à participação de 50% do VBI Prime FII na posse do imóvel.,
35.652.102/0001-76,2021-09-30,2,Complexo JK - Torre B,1.0,BR Properties,Imóvel pronto com 100% de renda garantida pelo vendedor proporcional à participação de 20% do VBI Prime FII na posse do imóvel.,
35.652.102/0001-76,2021-12-31,2,Union Faria Lima,1.0,Dublin Empreendimento Imobiliário SPE S/A,Imóvel ainda em construção com 100% de renda garantida pelo vendedor proporcional à participação de 50% do VBI Prime FII na posse do imóvel.,
35.652.102/0001-76,2021-12-31,2,Complexo JK - Torre B,1.0,BR Properties,Imóvel pronto com 100% de renda garantida pelo vendedor proporcional à participação de 20% do VBI Prime FII na posse do imóvel.,
35.754.164/0001-99,2021-06-30,1,Ribeirão das Neves,0.17,Vendedor do imóvel,Pelo prazo de 18 meses a partir de agosto de 2020.,
35.754.164/0001-99,2021-09-30,1,Ribeirão das Neves,0.153,Vendedor do imóvel,Pelo prazo de 18 meses a partir de agosto de 2020.,
35.754.164/0001-99,2021-12-31,1,Ribeirão das Neves,0.17,Vendedor do imóvel,Pelo prazo de 18 meses a partir de agosto de 2020.,
36.200.677/0001-10,2021-12-31,1,DCB - Distribution Center Barueri,0.281481,DISTRIBUTION CENTER BARUERI EMPREENDIMENTOS IMOBILIARIOS S.A,"Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição. Por até 24 meses e após aquisição para determinados eventos. % garantido relativo = receita garantida / receita total",
36.200.677/0001-10,2021-12-31,1,DCC - Distribution Center Cajamar,0.427064,BREF IIII FIP MULTIESTRATÉGIA,"Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição. Por até 24 meses e após aquisição para determinados eventos. % garantido relativo = receita garantida / receita total",
36.200.677/0001-10,2021-12-31,1,DCR - Distribution Center Rodoanel,0.238867,SANCA GTIS EMBU II EMPREENDIMENTOS LTDA.,"Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição. Por até 24 meses e após aquisição para determinados eventos. % garantido relativo = receita garantida / receita total",
36.200.677/0001-10,2021-12-31,1,CLE - Centro Logísntico Embu,0.388133,SANCA GTIS EMBU EMPREENDIMENTOS LTDA.,"Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição. Por até 24 meses e após aquisição para determinados eventos. % garantido relativo = receita garantida / receita total",
36.517.660/0001-91,2021-03-31,1,Urbic Sabia,0.0067,Vendedor,"O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução",
36.517.660/0001-91,2021-03-31,1,Urbic Tomas Alves,0.0067,Vendedor,"O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução",
36.517.660/0001-91,2021-03-31,1,Cyrela for you,0.0067,Vendedor,"O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução",
36.517.660/0001-91,2021-06-30,1,Urbic Sabia,0.0067,Vendedor,"O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução",
36.517.660/0001-91,2021-06-30,1,Urbic Tomas Alves,0.0067,Vendedor,"O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução (até junho)",
36.517.660/0001-91,2021-06-30,1,Cyrela for you,0.0067,Vendedor,"O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução",
36.517.660/0001-91,2021-09-30,1,Urbic Sabia,0.0067,Vendedor,"O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução",
36.517.660/0001-91,2021-09-30,1,Cyrela for you,0.0067,Vendedor,"O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução",
36.517.660/0001-91,2021-12-31,1,Urbic Sabia,0.0067,Vendedor,"O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução",
36.517.660/0001-91,2021-12-31,1,Cyrela for you,0.0067,Vendedor,"O pagamento de renda garantida será sobre todos os valores efetivamente recebidos pelaVENDEDORA de acordo com as parcelas acordadas, durante o periodo de contrução",
37.087.810/0001-37,2021-03-31,3,Não possui informação apresentada.,,,,
37.087.810/0001-37,2021-06-30,2,Não possui informação apresentada.,,,,
